rvil	dhgr	mn	fr	sot	pss	nss	pxob	nxob	
30	0	76.9541	4.00191	85.9505	3.17465	123.099	19.7379	3.22734
28.0001	0	132.103	37.6082	62.8578	6.47906	102.364	18.7754	6.89088
26	0.170789	132.808	40.3762	52.9239	6.79586	94.1204	17.6882	9.33421
24	0.349929	123.23	36.2179	47.0308	6.22517	89.5888	16.547	11.2337
22	0.486687	110.452	29.7281	42.9947	5.26319	86.6809	15.3535	12.8167
20	0.56316	96.9491	22.501	39.9488	4.10525	84.5753	14.0937	14.1904
18.0001	0.57446	83.9908	15.2743	37.435	2.85416	82.8411	12.7461	15.4122
16.0001	0.522662	72.4501	8.49645	35.1353	1.58125	81.1805	11.2828	16.5136
14.0001	0.415108	63.0888	2.55373	32.7462	0.355597	79.3067	9.66806	17.508
12	0.2648	56.6833	-2.07054	29.8606	-0.728797	76.8304	7.85536	18.3928
10	0.0925909	54.1118	-4.54652	25.7523	-1.50115	73.0507	5.78208	19.146
8.00001	-0.0680086	56.5304	-2.99919	18.7559	-1.56314	66.3528	3.36036	19.7157
